DMA,Taylor Swift
St. Joseph MO,100
North Platte NE,80
Davenport IA-Rock Island-Moline IL,79
Johnstown-Altoona PA,79
Presque Isle ME,76
Kansas City MO,76
Quincy IL-Hannibal MO-Keokuk IA,75
Watertown NY,75
Des Moines-Ames IA,75
Glendive MT,74
Toledo OH,73
Cincinnati OH,72
Elmira NY,72
Green Bay-Appleton WI,72
Indianapolis IN,72
Burlington VT-Plattsburgh NY,72
Parkersburg WV,72
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,72
Madison WI,72
Mankato MN,71
Terre Haute IN,71
Marquette MI,71
Tri-Cities TN-VA,71
Charlottesville VA,71
Duluth MN-Superior WI,70
Evansville IN,70
La Crosse-Eau Claire WI,70
Zanesville OH,69
Charleston-Huntington WV,69
Peoria-Bloomington IL,69
Pittsburgh PA,68
Columbia-Jefferson City MO,68
Lexington KY,68
Portland-Auburn ME,68
Springfield MO,68
Rochester MN-Mason City IA-Austin MN,68
Bluefield-Beckley-Oak Hill WV,68
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,67
Helena MT,67
Grand Rapids-Kalamazoo-Battle Creek MI,67
Minneapolis-St. Paul MN,67
Joplin MO-Pittsburg KS,67
Clarksburg-Weston WV,66
Sioux Falls(Mitchell) SD,66
Cleveland-Akron (Canton) OH,66
Fargo-Valley City ND,66
Topeka KS,66
Wheeling WV-Steubenville OH,66
Butte-Bozeman MT,65
"Billings, MT",64
Champaign & Springfield-Decatur IL,64
Jonesboro AR,64
Ft. Wayne IN,64
South Bend-Elkhart IN,64
Traverse City-Cadillac MI,64
Missoula MT,64
Rapid City SD,63
Wausau-Rhinelander WI,63
Idaho Falls-Pocatello ID,63
Louisville KY,63
Dayton OH,62
Albany-Schenectady-Troy NY,62
Salt Lake City UT,62
Ottumwa IA-Kirksville MO,62
Wilkes Barre-Scranton PA,62
Syracuse NY,61
Sioux City IA,61
Utica NY,61
Buffalo NY,61
Binghamton NY,61
Bowling Green KY,60
Minot-Bismarck-Dickinson(Williston) ND,60
Boise ID,60
Providence RI-New Bedford MA,60
Lincoln & Hastings-Kearney NE,60
St. Louis MO,60
Harrisburg-Lancaster-Lebanon-York PA,60
Lima OH,60
Bangor ME,59
Flint-Saginaw-Bay City MI,59
Boston MA-Manchester NH,59
Erie PA,58
Lafayette IN,58
Knoxville TN,58
Bend OR,57
New Orleans LA,57
