DMA,Zach Bryan
Zanesville OH,100
Rapid City SD,46
Bluefield-Beckley-Oak Hill WV,44
Great Falls MT,43
St. Joseph MO,41
Charleston-Huntington WV,40
Abilene-Sweetwater TX,38
Minot-Bismarck-Dickinson(Williston) ND,37
Lexington KY,36
"Billings, MT",35
Johnstown-Altoona PA,35
Wheeling WV-Steubenville OH,34
La Crosse-Eau Claire WI,32
Oklahoma City OK,32
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,31
Sioux Falls(Mitchell) SD,30
Clarksburg-Weston WV,30
Bowling Green KY,29
Watertown NY,29
Des Moines-Ames IA,29
Columbia-Jefferson City MO,28
Tulsa OK,28
Fargo-Valley City ND,27
Knoxville TN,26
Lubbock TX,25
Pittsburgh PA,25
Grand Junction-Montrose CO,25
Terre Haute IN,25
Cincinnati OH,24
Evansville IN,24
Idaho Falls-Pocatello ID,24
Medford-Klamath Falls OR,24
Jackson TN,24
Tri-Cities TN-VA,24
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,24
Ft. Smith-Fayetteville-Springdale-Rogers AR,23
Joplin MO-Pittsburg KS,23
Birmingham AL,22
Duluth MN-Superior WI,22
Albany-Schenectady-Troy NY,22
Flint-Saginaw-Bay City MI,22
Corpus Christi TX,22
Springfield MO,22
Rochester MN-Mason City IA-Austin MN,22
Greenville-New Bern-Washington NC,21
Little Rock-Pine Bluff AR,21
Sherman TX-Ada OK,21
Sioux City IA,21
Traverse City-Cadillac MI,21
Toledo OH,21
Louisville KY,21
Indianapolis IN,21
Lincoln & Hastings-Kearney NE,20
Columbus-Tupelo-West Point MS,20
Bangor ME,20
Wichita Falls TX & Lawton OK,20
Hattiesburg-Laurel MS,20
Nashville TN,20
Charleston SC,19
Ft. Wayne IN,19
Topeka KS,19
St. Louis MO,19
Minneapolis-St. Paul MN,19
Burlington VT-Plattsburgh NY,19
Davenport IA-Rock Island-Moline IL,19
Chattanooga TN,18
Monroe LA-El Dorado AR,18
Wilkes Barre-Scranton PA,18
Chico-Redding CA,18
Dayton OH,18
Columbus OH,18
Roanoke-Lynchburg VA,18
Savannah GA,17
Wilmington NC,17
Boise ID,17
Champaign & Springfield-Decatur IL,17
Peoria-Bloomington IL,17
Kansas City MO,17
Syracuse NY,17
Amarillo TX,17
Cleveland-Akron (Canton) OH,17
Grand Rapids-Kalamazoo-Battle Creek MI,17
Jackson MS,16
Laredo TX,16
New Orleans LA,16
Panama City FL,16
Yakima-Pasco-Richland-Kennewick WA,16
Denver CO,16
Shreveport LA,16
Portland-Auburn ME,16
Buffalo NY,16
Albuquerque-Santa Fe NM,16
Green Bay-Appleton WI,16
Detroit MI,15
Huntsville-Decatur (Florence) AL,15
Raleigh-Durham (Fayetteville) NC,15
Lafayette LA,15
Tyler-Longview(Lufkin & Nacogdoches) TX,15
